100         882.191
174         882.191
243         882.191
303         784.471
374         784.471
439         782.713
514         776.22
576         684.357
652         652.136
717         638.509
787         632.387
842         619.969
897         597.593
963         527.659
1024        527.659
1072        527.659
1140        527.659
1209        517.253
1267        517.253
1329        517.253
1390        517.253
1449        491.702
1514        491.702
1582        490.084
1645        481.251
1713        481.251
1766        481.096
1821        481.096
1872        478.74
1911        478.74
1960        474.395
2009        467.195
2049        467.195
2100        467.195
2142        467.174
2194        467.174
2227        467.174
2269        467.174
2311        465.475
2352        465.475
2388        464.471
2415        464.471
2440        464.323
2464        464.323
2492        463.792
2512        463.792
2531        461.874
2562        461.711
2592        461.467
2622        461.456
2660        460.713
2695        460.541
2728        460.487
2761        460.487
2791        460.392
2815        458.584
2847        456.61
2871        456.61
2890        456.61
2905        456.61
2930        455.326
2968        455.326
2991        451.69
3021        451.69
3055        451.69
3086        451.544
3107        451.544
3143        451.544
3169        450.995
3194        450.995
3220        450.995
3248        449.886
3271        449.886
3305        449.886
3331        446.569
3367        446.423
3401        446.423
3422        446.317
3462        446.24
3490        445.356
3521        444.892
3556        444.892
3583        444.892
3605        444.892
3630        444.892
3650        444.892
3669        444.892
3683        444.892
3702        444.892
3716        443.049
3727        443.049
3731        443.049
3747        441.771
3755        441.771
3761        441.771
3769        441.771
3778        441.771
3789        441.771
3801        441.683
3816        441.613
3833        441.518
3844        441.518
3859        441.518
3869        440.735
3896        440.735
3911        440.735
3928        439.841
3945        439.722
3965        439.722
3983        439.722
4001        439.722
4020        439.554
4035        439.554
4054        439.554
4073        439.554
4092        439.554
4114        439.554
4137        439.554
4160        436.507
4179        436.507
4193        436.262
4210        436.262
4226        436.262
4240        436.262
4253        436.262
4264        436.262
4285        436.262
4295        436.262
4312        436.262
4328        436.262
4342        436.262
4351        436.162
4369        436.162
4388        436.162
4404        436.162
4428        436.092
4439        436.092
4455        436.092
4467        436.092
4478        436.063
4484        436.063
4497        436.063
4513        436.063
4526        436.063
4539        436.063
4554        436.063
4565        436.063
4573        436.063
4581        436.063
4588        436.063
4596        436.063
4604        436.063
4612        436.063
4617        436.063
